

RELABLING WITH IVS - 08/06/2020 22:24:15
Cherrim, 2020-05-29, MiddleTownship, _NJ, 15-15-14
Cherrim, 2019-09-09, Pittsburgh, _Pitt, 15-14-13
Cherrim, 2019-09-09, Pittsburgh, _Pitt, 15-14-13
Cherrim, 2019-11-17, StateCollege, _PA, 8-15-14
Mismagius, 2019-10-20, Pittsburgh, _Pitt, 13-15-15
Honchkrow, 2019-09-02, Pittsburgh, _Pitt, 13-13-14
Glameow, 2020-05-30, NorthWildwood, _NJ, 10-14-13
Chingling, 2019-09-04, Pittsburgh, _Pitt, 13-15-11
Stunky, 2019-12-31, Pittsburgh, _Pitt, 11-15-11
Bronzor, 2020-05-26, FortWashington, _Fort, 15-13-10
Bronzor, 2019-09-11, Pittsburgh, _Pitt, 10-12-15
Hippopotas, 2019-08-04, Philadelphia, _Phila, 14-14-13
Hippopotas, 2020-02-08, FortWashington, _Fort, 13-15-9
Hippopotas, 2020-05-26, Oreland, _Fort, 15-10-14
Hippopotas, 2020-02-09, FortWashington, _Fort, 13-12-13
Hippopotas, 2020-02-09, FortWashington, _Fort, 12-15-11
Hippopotas, 2020-02-09, FortWashington, _Fort, 12-15-11
Skorupi, 2019-10-08, Pittsburgh, _Pitt, 9-9-9
Skorupi, 2019-10-08, Pittsburgh, _Pitt, 11-15-13
Croagunk, 2020-05-24, FortWashington, _Fort, 13-14-15
Croagunk, 2019-08-20, SpringfieldTownship, _PA, 15-11-15
Finneon, 2019-08-01, Washington, _WA, 13-12-14
Snover, 2020-01-09, ForWashington, _PA, 11-15-14
Snover, 2020-01-01, Philadelphia, _Phila, 15-14-10
Snover, 2020-01-01, Oreland, _Fort, 13-15-10
Rhyperior, 2020-02-22, FortWashington, _Fort, 15-14-13
Rhyperior, 2019-08-06, Washington, _WA, 13-14-13
Rhyperior, 2020-02-22, FortWashington, _Fort, 13-14-15
Rhyperior, 2020-02-22, FortWashington, _Fort, 9-14-15
Electivire, 2019-07-31, Washington, _WA, 13-14-14
Mamoswine, 2019-10-10, Pittsburgh, _Pitt, 14-12-12
Probopass, 2019-10-20, Pittsburgh, _Pitt, 12-14-15
Heatran, 2020-01-19, FortWashington, _Fort, 12-15-14
Giratina, 2019-10-12, Pittsburgh, _Pitt, 15-14-12
Giratina, 2019-10-12, Pittsburgh, _Pitt, 11-15-14
